69741360,02068550
85505948,57375895
16548029,15877983
02116447,65557293
68843515,26698748
63681053,00758375
82054491,53035752
51269761,09353943
83218719,29697879
78332854,05930185
15581077,05686739
42832677,61349631
27187473,47191272
16484262,46340990
88030084,30471892
49567875,28322801
21317241,91081876
77907320,28557003
90459143,58301071
72024888,92329757
76804524,32605156
90221947,24249509
14824652,27361313
14351260,79925452
49903503,96347639
02977882,22923679
74114692,72165363
19810223,37579364
71219745,03508534
08925245,61939328
24392037,61538735
43062387,95564989
42491602,68995681
13975862,47439915
82178125,28501094
32055653,63787473
67117938,72998397
97442635,98180148
77972375,41313478
46324555,86298528
63325730,35926107
02541198,75010110
74432074,57892999
24139336,38500391
55132112,79725858
27502062,50806397
01503319,86793230
85230877,19681477
31078416,26859548
58589646,92878133
31307207,16972778
87633608,64828125
72799737,93067598
78375143,01445738
99409747,26090660
59000788,96863716
51250105,20787347
41125258,01927535
35517408,83623978
38026517,03870240
07563451,11573499
71301718,48331690
94194358,17984487
88941118,09470222
09632738,89921996
32048072,14902253
53541457,89236286
80698551,20424027
48226726,11239893
52212580,86674122
27502297,54489149
02358662,75684793
45454135,17558190
02245220,22402023
86381267,10006646
98713773,48036960
59175117,74020050
46421669,23448549
15507905,23188468
96517152,00042849
84373789,05146065
68680243,52435381
67228901,78351652
36806241,75486196
34997223,95943676
77782380,71786454
20773668,39030899
90723514,73748765
86687916,66500671
40640723,76219250
56381957,67530243
36211222,08917353
30484605,91345320
81632371,53289639
53624536,75696629
03421565,76650083
81678319,24513989
48700653,65098577
30087667,70217476
49313067,72473012
30572331,98844181
28235297,52092056
46545688,50524705
13509963,13428905
33501730,09183033
52836725,30256276
88013298,61060967
97032021,83769848
79247557,83828554
96452286,02515414
28240641,94838277
65698290,29058909
08690151,62412260
66027271,28399595
09346534,61132804
55411730,65830624
42011865,30495824
54606986,49365929
16654004,25770782
27425984,46856074
10362762,78637232
47956792,46199757
88413450,26354034
92326428,44367969
06450753,95873926
31433049,03430879
12512245,82986984
77682141,71186935
30977710,40836906
19993862,89148574
81491294,05920451
14366859,16825880
58289517,42476538
06256911,91071981
01502671,02900260
91626223,11374419
53810577,32409914
06726778,62403578
62507916,81914938
41837871,29320715
38673835,50076567
18505541,97761244
87246986,36298998
34804593,77604633
51283357,23135608
48069358,18231929
44342478,92826117
76742616,81027694
72327958,15228049
48736440,45557869
24791075,21211873
63912155,45767108
94560645,26473766
21668508,62278495
60423029,89820005
11850715,08885085
05489275,84310830
21851633,43393690
17921790,34793784
59893441,07954494
61319006,52967387
86268098,96455721
88502232,81106749
26030078,86933697
94235941,77782743
07896067,81572782
89417029,90053052
61195539,80399358
31823791,45236006
41620702,35650556
49693081,59718102
73138477,07178595
70988481,46769324
95303978,84579339
16232901,72401165
77463784,93342533
54065563,33269403
09710589,45056615
73475712,08646255
51287860,98408139
19128373,48254667
95542872,81746903
98903315,54402896
88829013,33760523
87985691,88948222
66877953,50260090
45905602,93750623
88133380,57117918
55236834,21762255
18170734,80607862
30605778,75186945
86753715,29128235
12883782,53474949
25717469,55950430
86431548,94074843
11763438,09577455
